protein_id	WT_t1	WT_t2	WT_t3	WT_t4	HetEd_t1	HetEd_t2	HetEd_t3	HetEd_t4	HomEd_t1	HomEd_t2	HomEd_t3	HomEd_t4	HetRev_t1	HetRev_t2	HetRev_t3	HetRev_t4	HomRev_t1	HomRev_t2	HomRev_t3	HomRev_t4
PROT_0000	22.928	22.8726	23.258	22.5924	22.8945	22.7719	22.8505	23.2213	22.6449	22.6627	22.561	23.1847	22.6872	23.1286	22.9038	22.5395	22.9255	22.9545	23.2478	23.2809
PROT_0001	24.5958	24.113	24.3733	23.7085	24.791	24.5409	24.5374	24.6952	24.0882	24.6838	24.5372	24.536	24.0976	24.3751	23.8093	24.3327	24.201	24.3392	24.0218	23.7903
PROT_0002	25.4282	25.0139	24.889	25.0871	25.1992	24.7971	25.1622	25.1557	25.2758	25.09	25.2744	24.8257	25.201	25.0089	25.1729	25.1891	25.2725	24.9808	25.1599	25.0203
PROT_0003	24.6163	24.5834	24.2255	24.77	24.7023	24.7136	24.9426	24.8599	24.5926	24.5002	24.374	24.8259	24.2894	24.9368	24.7994	24.6445	24.7329	24.6625	24.3957	24.7375
PROT_0004	22.5557	22.127	22.078	22.2503	22.2903	22.7661	21.9737	22.5137	22.2493	22.3283	22.082	22.2842	22.6238	22.6451	22.0836	22.3486	22.1879	21.7234	22.4182	22.2358
PROT_0005	23.2703	23.3142	23.4554	23.3264	23.5932		23.8073	23.2721	23.0153	23.1078	23.6904	22.8224	23.3741		23.5263	23.3105	23.5212	23.0711	23.6191	23.0876
PROT_0006	25.1166	25.1943	24.6824		25.1303	25.0028	25.2081	25.4127	24.8796	25.1901	25.1092	25.1201	24.9916	25.273	25.3133	25.1873	25.1548	25.349	24.9809	25.1322
PROT_0007		21.4835	21.561	21.068	21.1405	21.3745	21.2237	21.6439	21.2932	21.3825	21.2025		20.9302	21.6843	21.3947	21.473	21.2666	20.9932	21.727	21.3494
PROT_0008	21.3415	20.9502	21.6143	22.3146	21.6267	21.4509	21.9715	20.8549	21.2327	21.7782		21.4651	21.4632	21.7799	21.3531	21.2129	21.2278	21.9698	21.5052	21.7603
PROT_0009	24.498	24.3746	24.5508	24.6712	24.4332	24.4517	24.6745	24.8513	24.3739	24.6404	24.4041	24.6686	24.565	24.6121	24.4229	24.5408	24.8541	24.7	24.4011	24.4499
PROT_0010	26.8417	26.807	26.8427	27.1838	27.1394	27.2232	27.0193	27.085	27.1136	27.0342	27.0771	27.1397	26.4908	26.8908	26.5813	26.8781	26.6713	26.9067	26.5515	26.9438
PROT_0011			14.8405									17.0581								
PROT_0012	22.7758	22.1431	22.4684	22.408	23.1218	22.5132	22.6282	22.5703	22.6789	22.8744	23.0984	22.5616		22.8504	22.6404	22.5717		22.4416	22.3014	22.6433
PROT_0013	20.5885	21.2774	20.8911	21.0365	21.0127		20.6879	20.642	21.0724	21.1486	21.0546	21.5716	21.1566		20.6973	21.2635	20.337	20.9285	20.7919	20.5552
PROT_0014	23.617	23.5643	23.5084	23.2982	23.2825	23.5097	23.4453	23.4212	23.8421	23.63	23.5497	23.7562	23.5751	23.5562		23.5876	23.6985	23.7965	23.3986	23.7395
PROT_0015	22.3377	21.9793	22.1787	21.4019	21.1429	22.0537	21.8696	21.8062	22.642		21.8371	21.732	21.3924	21.7606	21.0033	21.7218	22.0357	21.6947	21.8166	21.9805
PROT_0016	22.5115	22.5235	22.2827	22.8288	22.5226	22.4665	22.6402	22.4358	22.7877	22.9973		22.4366	23.0702	22.8194	22.5786	22.5353	22.7034	22.5523	22.6195	22.3059
PROT_0017	24.3189	23.5655	24.0237	24.2447	23.9037	23.7054	24.0923	24.2883	23.8722	24.2926	24.3662	24.2826	23.9942	23.5947	24.3172	23.6928	24.305	23.7724	24.7552	23.8284
PROT_0018	23.5267	23.4607	23.535	23.4883	23.5266	23.5957	23.7735	23.4393	23.3866	23.481	23.3524	23.6614	23.1463	23.7344	23.6249	23.8114	23.4905	23.6741	23.3095	23.7143
PROT_0019	24.7203	24.7237	24.7421	24.6557	24.7216	24.6235	24.9021	24.5522	25.174	24.3139	24.9957	24.5371	24.762	24.9494	25.0837	24.356	25.138	24.326	25.1399	24.5397
PROT_0020	21.7067	21.3888	21.7107	22.1559	22.1366	21.5805	21.7804	21.6842	21.9136	21.8962	21.9301	22.0753	21.9835	21.1394	21.9565	21.5788	21.584	21.7215	22.0392	21.3019
PROT_0021	20.4514	20.0422	19.7473	19.862	21.5674	20.8503	21.1417	20.961	20.58	21.6086	20.3676	20.9147	20.6478	20.2142	20.3459	20.6964	20.5377	20.256	20.1328	20.0509
PROT_0022			18.9081		18.2261	19.0529			19.069	18.9468			18.6992	19.3236		17.8144			18.8593	
PROT_0023	22.6883	22.3479	22.777	22.4198	23.0608	22.4813	22.7345	22.6802	22.9312	22.646	22.6861	22.7851	22.3794	22.4269	22.8418	22.779	22.4782	22.8225	23.0064	
PROT_0024	22.468	23.133	22.5605	22.6093	22.785	22.3211	22.5298	22.7038	22.4954	22.1802	22.1255	22.4526		22.4306	22.3377	22.6524		22.2235	22.2748	22.0985
PROT_0025	22.0683	22.074	21.9793	22.3758	21.7209	22.3036	21.8611	22.0892	21.8634	21.9143	21.9023	21.9968	22.2705	22.6336	21.4168	22.3812	21.6501	22.3202		21.9887
PROT_0026	23.8941	23.6899	23.9611	24.1585	23.8148	23.9197	23.6433	23.7113	23.86	23.844	23.8453	23.8264	23.6938	23.986	24.0739	23.709	23.8008	24.0209	23.7946	24.2681
PROT_0027	20.9679	20.4336	20.8157	20.8558	20.353	20.5512	20.5726	20.2696	20.2951	19.7626	20.0307	20.7199	19.8816	20.3915	20.7829	20.6532	20.1523	21.3243	20.9004	20.389
PROT_0028	21.9001	21.8932	21.7035	21.7551	21.7054	21.7319	21.7129		22.1699	21.929	22.2179	22.6007	21.792	21.8658	21.6909	21.7958	22.1471	21.882	21.4516	22.0951
PROT_0029	25.3257	25.6574	25.632	25.7334	25.411	25.184	25.7326	25.3198	25.4198	25.6604	25.3435	25.4069	25.9227	26.039	26.2814	26.4095	25.261	25.421	25.7082	25.2873
PROT_0030	20.7385	20.4231	20.4219	20.7709	20.7736	20.2531	20.6445	20.1738	20.2823	20.0958	20.7537	20.7451	20.4014	20.2513	20.2571	20.4255			20.741	20.2913
PROT_0031	21.6575	21.8731	21.8393	21.6038	22.1132		21.2318	21.6495	22.1883	21.5	21.0583	22.0998	21.7178		21.7034	21.5849	21.4991	21.6743	21.6949	21.9744
PROT_0032	26.2748	25.9864	26.1721	25.8987	26.2035	26.2397	26.3878	26.5235	26.0639	25.9723	26.1792	26.3594	26.1034	26.8378		26.1297	26.3375	26.5199	26.322	
PROT_0033	27.7194	27.8224	27.526	27.68	27.7473	27.4769	27.4898	27.6417	27.5217	27.7999	27.8447	28.0802	28.0144	28.2069	28.1589	28.0945	27.9406	28.2171	27.9304	27.7039
PROT_0034										18.5064				18.3524		18.3017		18.2897	17.3947	
PROT_0035	20.003	19.4067	19.7006		20.6797	20.2446	20.798		20.2455	19.8518		19.9492			20.0399					
PROT_0036	22.8895	23.0022	22.5978	23.1395	23.0691	22.982	23.2282	23.336	22.8165	23.3177		22.9329	22.7251	23.0431	22.6214	23.3373	23.0328	23.0952	22.774	23.562
PROT_0037	23.422	23.6145	23.62	23.4001	22.9792	23.1026	22.9315	23.1076	23.4782	23.1731	23.1952	23.5113	22.9174	23.2023	23.2035	23.2038	23.4056	22.9914	23.1873	23.3652
PROT_0038	22.7332	22.6153	22.59	22.6264	22.821	22.524	22.9041	22.6798	22.1754	22.7301	22.3545	22.6632	22.5656	23.1495	22.5126	22.5679	22.3712	22.8629	22.4826	22.4854
PROT_0039	23.1405	22.7233	22.7072	23.0791	22.384	22.1711	22.2875	22.4156	21.5328	21.5499	21.6724	21.5351	22.2101	22.6604	22.3712	22.6002	22.7398	22.7482	22.8959	23.1816
PROT_0040		18.4905	17.2473				18.3898								16.9698					
PROT_0041	21.591	21.4488	21.5252	21.75	21.2715	21.2766	21.4707	21.6542	21.8055	21.6853	22.0049	21.5327	21.4589	21.7282	21.3914	21.1497	21.3996	21.8812	21.101	21.1972
PROT_0042	26.8818	26.6746	26.8438	27.0294	25.5549	25.2517	25.7204	25.5177	22.4318	22.6506	22.6936	22.6279	25.5462	25.6825	25.6488	25.7825	27.3843	26.9848	26.948	27.0099
PROT_0043	20.8887	21.2797	20.9096	21.1687		20.607	20.949		20.8547	20.3112		20.0339	20.74	20.6566	20.5253	20.5476	20.4618		20.4795	20.2586
PROT_0044	25.0561	25.0733	25.203	24.9876	24.9146	24.9633	24.9841	24.9241	24.8734	25.1087	25.1486	25.141	24.9609	25.3313	25.2626	25.2589	24.7041	25.3472	24.8959	24.5469
PROT_0045	21.8303	21.8718	21.9175	21.9463	21.9584	21.8923	22.7544	21.7834	21.8629	21.9285	21.6768	21.7088	21.739	22.0981	21.4298	21.6168	21.4729	21.9003	21.7604	
PROT_0046	23.361	23.3969	23.0938	23.5668	23.6264	23.3358	23.6882	23.4855	23.6877	23.6684	23.8353	23.8006	23.8931	23.6511	23.2833	23.505	23.3001	23.5595	23.5109	23.6209
PROT_0047	21.4897	21.4339	21.2653	21.8805	21.0645	21.3185	21.6705	20.8495	21.0763	20.9339	20.7338	21.4597	21.1288	21.0824	21.2905	21.4139	21.7272	20.89	21.6643	
PROT_0048	25.3854	25.129	25.1225	25.3149	25.4345	24.9813	25.3983	25.5253	25.4647	25.6545	25.5985	25.3635	25.6055	25.4967	25.6194	25.5028	25.6436	25.6833		25.6063
PROT_0049			19.1383					17.8266												
PROT_0050	24.7366	24.6851	24.5089	24.2294	24.0602	24.3967	24.5351	24.4266	24.2157	24.3784	24.5454	24.4857	24.2514	24.3981	24.3265	24.3198	24.4868	24.6076	24.0171	24.423
PROT_0051	21.3028	21.2025	21.5362	21.4667	21.2951		21.4663	21.1845	21.3674	21.2234	21.228	21.0551	21.0031		21.5125		21.5749	21.1163		21.518
PROT_0052	22.0812	21.4883	21.7202	21.5289	21.9504	21.1799	21.3794	21.5581		21.5948	21.6443	21.792	21.912	21.323	21.3165	21.5914	21.9743	21.664	22.1098	21.8212
PROT_0053	25.8538	25.8242	25.7529	26.4937	26.8123	26.8621	26.6884	26.7903	27.3586	27.5237	27.4867	27.4381	26.7777	26.7055	26.8098	26.6315	25.8626	26.3933	26.1094	26.221
PROT_0054	20.9387	20.7586	21.1409	20.4971	20.8675	20.2004	20.809	20.6424	21.3242	21.0585	20.6515	20.0488		20.7436	20.7607	20.8741	21.027	20.5732	20.9911	20.503
PROT_0055	24.9636	25.2089	25.0592	25.4302	24.9374	24.989	24.7962	25.2684	24.9087	25.5329	24.8928	25.3292	24.9422	25.7002	25.018	25.3276	24.8342	25.4486	24.5587	25.1766
PROT_0056	20.2152	21.181	21.0678	20.4217	21.7501	21.2064	21.2527	21.1034	21.0331	20.9635	21.1864	21.3647	20.8347	21.0068	21.7401	20.8597	20.7389	21.0923	20.4701	
PROT_0057	25.0339	24.8609	25.1757	25.1221	25.3416	25.0137	25.2295	25.0904	24.9253	25.0053	25.1729	25.1201	25.1512	24.8674	25.0717	24.9772	25.1638	25.0701	25.3176	25.1451
PROT_0058	24.4291	24.0581	24.0674	23.9972	24.4841	24.4115	24.4725	24.3441	24.8459	24.865	24.6584	24.6526	24.5072	24.5325	24.7284	24.6686	24.375	24.1862	24.4509	24.3978
PROT_0059	24.1406	23.6583	23.9522	23.5649		23.4248	24.0773	23.88	23.8821	23.6871	23.6768	23.3574	23.6333	23.6293	23.637	23.6856	24.2201	23.9685	23.9504	23.3621
PROT_0060	23.359	23.0486	23.3477	23.1567	23.1971	22.9408	22.8868	22.9225	22.8427	23.2364	23.447	23.4183	23.2385	23.5179	23.5316	23.0916	23.2893	23.1206	23.191	23.3155
PROT_0061	24.2637	24.3115	24.1681	24.4849		24.1412	24.2542	24.3188	24.4857	24.5373	24.2361	24.6467	24.1898	24.5264	24.1321	24.5886	24.3786	24.366	24.2042	24.1571
PROT_0062	25.1457	24.6036	25.2428	25.018	25.1407	25.2304	25.4684	25.0283	25.2053	24.7049	25.3144	24.8679	25.0109	25.4723	25.1333	25.2487	25.141	24.9957	25.3777	24.6681
PROT_0063	22.8496	22.8546	22.9116	23.3619	23.3087	23.2879	23.3	23.489	24.0205	23.9328	24.1774	24.2788	23.3384	23.6443	23.1849	23.317	23.0633	22.7271	23.3446	23.0915
PROT_0064	24.9178	24.869	24.95	24.9957	25.0809	24.9731	25.3704	25.2942	24.8809	25.0501	24.9961	24.832	24.9401	25.2766	24.8436	24.934	25.0273	24.9731	24.9962	25.1213
PROT_0065	20.0673		20.2125	20.5759	20.2961	19.8236			20.1899		19.9531	20.0564	20.2591	20.5257	20.6079	20.6533	19.992	19.033	19.9509	20.2933
PROT_0066		20.4503		20.8552	20.9752	20.4433	20.733		20.6572	21.0622	20.9292	20.6632	20.7939	20.9268	20.6859	20.9626	21.4616		20.5464	21.0121
PROT_0067	23.4123	22.9977	23.1969	23.7411	23.4471	23.4742	23.2609	23.429	22.4964	22.8278	22.7131	23.1795	23.3792	23.7795	23.2138	23.6911	23.4364	24.0289	23.4466	23.5734
PROT_0068	28.1636	28.205	28.3507	28.0924	28.4893	28.1832	28.3989	28.3882	28.2388	28.2228	28.059	27.8681	28.3769	28.346	28.7008	28.2481	28.5123	28.1808	28.5043	28.2291
