library	clone	state	dose	lineage	tech_rep	plex
WT_t1	WT	wild_type	0	parental	1	plex1
WT_t2	WT	wild_type	0	parental	2	plex2
WT_t3	WT	wild_type	0	parental	3	plex1
WT_t4	WT	wild_type	0	parental	4	plex2
HetEd_t1	HetEd	het_edit	1	edit_r1	1	plex1
HetEd_t2	HetEd	het_edit	1	edit_r1	2	plex2
HetEd_t3	HetEd	het_edit	1	edit_r1	3	plex1
HetEd_t4	HetEd	het_edit	1	edit_r1	4	plex2
HomEd_t1	HomEd	hom_edit	2	edit_r1	1	plex1
HomEd_t2	HomEd	hom_edit	2	edit_r1	2	plex2
HomEd_t3	HomEd	hom_edit	2	edit_r1	3	plex1
HomEd_t4	HomEd	hom_edit	2	edit_r1	4	plex2
HetRev_t1	HetRev	het_revertant	1	edit_r2	1	plex1
HetRev_t2	HetRev	het_revertant	1	edit_r2	2	plex2
HetRev_t3	HetRev	het_revertant	1	edit_r2	3	plex1
HetRev_t4	HetRev	het_revertant	1	edit_r2	4	plex2
HomRev_t1	HomRev	hom_revertant	0	edit_r2	1	plex1
HomRev_t2	HomRev	hom_revertant	0	edit_r2	2	plex2
HomRev_t3	HomRev	hom_revertant	0	edit_r2	3	plex1
HomRev_t4	HomRev	hom_revertant	0	edit_r2	4	plex2
