protein_id	WT1_t1	WT1_t2	HetEd1_t1	HetEd1_t2	HomEd1_t1	HomEd1_t2	HetRev1_t1	HetRev1_t2	HomRev1_t1	HomRev1_t2	WT2_t1	WT2_t2	HetEd2_t1	HetEd2_t2	HomEd2_t1	HomEd2_t2	HetRev2_t1	HetRev2_t2	HomRev2_t1	HomRev2_t2	WT3_t1	WT3_t2	HetEd3_t1	HetEd3_t2	HomEd3_t1	HomEd3_t2	HetRev3_t1	HetRev3_t2	HomRev3_t1	HomRev3_t2
PROT_0000	22.4671	23.2418	22.8081	22.8749	23.2074	22.9135	22.7896	22.8643	22.5494	22.5448	23.0593	23.031	22.7728	23.0285	22.7337	22.7295	22.9334	23.0085		22.7109	22.93	22.6193	23.0187	22.5775	22.4939	22.7893	22.7132	23.1228	22.9608	23.298
PROT_0001	24.0254	23.6937	24.8969	24.683	24.5981	25.0131	24.2217	23.7902	23.7617	23.448	24.3075	23.9846	24.4133	23.6578	24.1566	24.3518	23.809	24.6514	23.7987	24.0534	24.4492	24.0522	23.986	24.2292	24.445	24.2452	24.6223	24.1019	24.1638	24.2032
PROT_0002	25.1342	24.946	24.9743	25.3227	25.1416	24.9007	24.9679	25.1892	25.0473	24.9222	25.3585	25.1877	25.1236	24.7404	24.3963	24.3445	25.1111	24.9755	25.0104	25.1482	25.2473	25.1584	24.6748	24.9426	25.1609	25.2397	24.785	25.0537	24.8775	24.5548
PROT_0003	24.8968	24.7881	24.6451	24.8068	25.4146	24.7593	25.0689	24.8176	24.8749	24.9149	24.9848	24.5661	25.2895	24.9675	24.5246	24.795	24.8681	24.8493	24.9226	24.838	24.9375	24.655	25.0966	25.0533	24.9451	25.0879	25.1109	24.8586	24.6319	24.6932
PROT_0004	22.5002	22.8388	22.2701	22.3975	22.7581	22.627	22.2125	22.5263	22.3801	21.9195	21.7516	21.8626	22.6082	22.7696	22.5502	22.1518	22.3265	22.3479	22.5656	22.414	22.3964	22.1296	22.488	22.5312	22.1719	22.6005	22.3409	22.2445	22.3949	22.3492
PROT_0005		22.869	23.1101	23.3995	23.3161	23.1955	23.3843	23.0971	23.0862	23.5427	22.9675	23.0953	23.2827	22.9227	22.9238	23.1774	23.1468	23.6958	23.0904	23.011	23.4245	23.3865	23.1649	23.3584	23.7301	23.1988	23.244	23.0944	22.5851	23.5491
PROT_0006	25.4573	25.1084	25.1329	25.0704	24.976	25.0256	24.8717	24.9727		25.3085	24.7634	25.0998	25.0224		25.2934	25.1525	24.7928	25.0477	25.0093	24.8311	24.7977	25.1749	25.1453	24.9426	25.1204		25.1186	24.8868	24.9998	25.1109
PROT_0007	21.3058	21.4503	21.5557	21.4113	21.6321	21.7355	21.8741	21.5918	21.4249	21.7194	21.8158		21.2846			21.6198	21.5732	21.0683	21.6324		21.7821	21.5346	21.674	21.515		21.619	20.9973	21.415	21.3291	
PROT_0008		21.4683	21.1144	21.4566	21.627	22.0565	21.4256	22.0568	21.2156	21.1433	21.4853	21.1825	21.9788	21.5646	21.2222	21.3334	21.6443	21.6495	21.3626	21.6319	21.8226	21.6347	21.368	21.9409	21.0545	22.2068	21.9043	21.0688	20.6545	21.0187
PROT_0009	24.5045	24.4663	24.5553	25.1232	24.5352	24.4438	24.4354	24.724	24.2156	24.3252	24.7289	24.5045	24.5637	24.5285	24.3004	24.5984	24.574	24.7519	24.7521	24.4408	24.2813	24.7932	24.5526	24.7884	24.7952	24.7837	24.4261	24.7775	24.5119	24.773
