protein_id	WT1_t1	WT1_t2	HetEd1_t1	HetEd1_t2	HomEd1_t1	HomEd1_t2	HetRev1_t1	HetRev1_t2	HomRev1_t1	HomRev1_t2	WT2_t1	WT2_t2	HetEd2_t1	HetEd2_t2	HomEd2_t1	HomEd2_t2	HetRev2_t1	HetRev2_t2	HomRev2_t1	HomRev2_t2	WT3_t1	WT3_t2	HetEd3_t1	HetEd3_t2	HomEd3_t1	HomEd3_t2	HetRev3_t1	HetRev3_t2	HomRev3_t1	HomRev3_t2	WT4_t1	WT4_t2	HetEd4_t1	HetEd4_t2	HomEd4_t1	HomEd4_t2	HetRev4_t1	HetRev4_t2	HomRev4_t1	HomRev4_t2	WT5_t1	WT5_t2	HetEd5_t1	HetEd5_t2	HomEd5_t1	HomEd5_t2	HetRev5_t1	HetRev5_t2	HomRev5_t1	HomRev5_t2
PROT_0000	22.3799	22.9575	22.9633	22.6116	22.7818	22.5551	22.6148	23.0295	23.262	23.4498	22.636	22.7698	23.6067	22.906	23.1099	23.2541	22.3687	23.1404	23.144	23.2067	22.9805	23.0668	22.9079	22.9008	23.4406	22.9199	22.6786	23.112	22.6989	22.8613	22.6658	22.8641	23.1526	22.6742	22.7311	22.7871	22.5549	23.7044	23.071	23.1282	22.6713	22.836	23.3287	23.0256	22.9463	22.9634	22.5358	23.2042	23.0443	23.1436
PROT_0001	24.2409	24.1311	24.6016	24.9441	24.6301	24.5763	24.1086	24.3697	24.2373	24.3084	23.9811	24.0249	24.2621	24.2407	24.5499	24.0458	23.892	24.1501	23.8859	24.0787	24.3344	24.3015	24.3405	24.1859	24.4368		24.4275	24.0986	23.9386	24.3785	23.5232	23.7762	24.566	23.8392	24.3777	24.1713	24.068		24.1965	24.3979	24.1436	23.9794	24.2686	24.0978	24.1181	24.062	24.3046	24.2944	24.101	24.1402
PROT_0002		25.1052	25.5082	25.0926	25.1654	24.5146	24.8263	24.9071	24.98	24.8048	24.8276	24.9758	24.9282	24.8953	25.0263	25.0545	25.2377	24.9218	24.8948	24.9702	25.1854	24.7547	25.151	25.0727	24.8504		25.1729	24.8804	25.3911	24.9447	25.0154	25.1604	25.2727	24.6771	25.2708	25.0976	25.05	24.9343		24.8097	25.2336	25.1653	24.7946	25.1057	24.7221	25.0385	25.3192	24.9879	25.3527	24.8429
PROT_0003	24.8021	25.0643	24.7113	24.6132	24.4599	24.8357	25.0894	24.5881	24.9114	24.2414	24.8947	24.672	24.2837	24.6059	24.5277	24.7913	24.6429	24.6985	24.952	24.4666	25.1314	25.0993	24.6951	24.8132	24.633	24.8506	24.7375	24.4941	25.0113	24.4027	25.1641	24.7836	24.5513	24.8661	24.4093	24.625	24.7081	24.5874	24.8402	24.5941	24.2304	24.2791	24.6135	24.9162	24.426	24.958	24.9307	24.5492	24.9563	24.7946
PROT_0004	22.9571	22.552	22.5782	22.3156	22.0752	22.5303	22.1914	22.6084	22.662		22.807	23.0393	22.4465	22.1073	22.8155	22.7906	22.8004	22.1981	21.8305		22.7748	22.5329	22.518	21.9808	22.0908	22.5951	22.3657	22.1161	22.2791	22.4091	22.5144		22.534	22.0662	22.5484	22.4747	22.6606	22.6337	22.1557	22.2946	22.2559	22.533	21.658				22.4414	22.3965	22.3561	22.421
PROT_0005	23.214	22.7531	22.8938	23.0506	22.8072	23.2599	23.0945	23.2048	23.0853	23.1901	23.7248	23.101	22.7625	23.3122	22.7446	23.5266	23.3056	22.8634	22.9014	23.023	23.2775	23.1873	23.4441	22.9781	23.6855	23.2755	22.9275	23.1679	23.0788	23.0481	23.2465	22.8766	23.106	22.9997	22.8356	22.8834	23.0279	22.8717	23.4108	23.124	23.0622	23.0024	22.8937	23.0645	22.835	23.5024	22.8416	22.8827	23.333	23.0493
PROT_0006	24.7334	24.7526	25.1266	24.9737	24.7577	24.7576	24.8021	25.2901	24.9983	24.8452	24.6604	24.7281	24.8861	24.7436	25.0343	24.9415	25.1117	25.2581	25.3257	25.2697	24.6686	24.1971	25.121	24.8618	24.9298	24.7717	24.8297	24.4846	25.237		24.729	25.0096	24.8715	24.7241	24.9753	24.9	24.5115		25.2441	24.9355	25.1325	24.9534	25.0151	25.1282	24.7762	24.8185	24.7777	24.9727	25.1226	24.9876
PROT_0007	21.4741	21.3667	21.2587	21.3259	21.5432	21.4993	21.1261	22.156	21.9602	22.0429	21.8038	21.6208	21.7245	21.7122	21.3707	21.5671	21.3488	21.4068	21.3433	21.6218	21.6241	21.936	21.977	21.8672	21.5154	21.8549	21.7002	21.6385	21.2815	21.7921	21.756	21.3925	21.8261	21.1778	21.2823	21.3253	21.2075	21.521	21.5957	21.9833	21.1049	21.3236	20.9803	21.2644	21.0708	21.1857	21.7937	21.7227	21.4701	21.6694
PROT_0008	20.8931	21.815	21.2184	21.0189	21.6034		21.6993	21.3829	21.1184	22.0139	21.1381	21.2909	21.3958	21.1619	21.0772	21.889	21.6845	21.4544	21.3014	21.6291	21.806	22.1469			22.1751	21.9542	20.9151	22.1093	21.7288	21.5256	21.2959	21.764	21.5627	21.8065	21.8004	21.3905	21.3374	21.9419	21.7142	21.1646	21.1555	21.2618	21.659	21.8721	21.634	20.8954	21.9101	21.4185	21.4976	21.2515
PROT_0009	24.7106	24.5885	24.7453	24.3592	24.7193	24.7127	24.5451	24.3203	24.6582	24.4519	24.7232	24.3597	24.4737	24.2932	24.324	24.6748	24.605	24.5004	24.3613	24.3834	24.8772	24.7214	24.6255	24.3537	24.8455	24.7797	24.4714	24.527	24.1113	24.8543	24.407	24.8217	24.6496	24.423	24.6933	24.6909	24.5674	24.3881	24.3524	24.5507	25.0599	24.8583	24.5647	24.4797	24.0805	24.4387	24.7067	24.6816	24.4597	24.3702
PROT_0010	26.9181	27.1934	27.1202	26.9528	27.0117	26.8092	27.0396	27.3969	27.3326	26.8223	26.7956	27.3708	26.8217	26.8254	26.9098	26.6194	27.4339	27.2208	27.0112	27.1697	26.9014	27.1832	26.9875	27.1515	26.9992	27.0551	27.2937	27.18	27.4272	26.9864	26.9275	27.0698	27.2382	27.3214	27.1176	26.924	27.1791	27.1612	27.0326	27.2635		27.37	27.1803	27.3013	26.9405		27.2538	26.8232	27.1309	26.8982
PROT_0011																																																15.8164		
PROT_0012	22.5459	22.9864	22.6754	22.6312	22.9777		22.5715	22.8655		22.9769	22.9079	22.8453	22.7528	22.5212	22.3789	22.7843	22.7775	23.0673	22.5018	22.3617	23.1842	22.6223	23.4022	23.2358	23.3997	23.2018	22.7888	22.7698	22.7412	22.8514		22.5568	22.9757	22.9385	22.7435	22.5854	22.5593	22.6917	23.0054	22.7209	23.1785	22.7539	23.1842	23.2332	22.5901	22.8958	22.6462	22.195	22.7592	22.8647
PROT_0013	21.3706	21.0763	20.9665	21.062	20.8654	20.8459	20.9375		21.3528	21.0553	20.4831	21.3411	20.8332	21.1223	20.6936	20.976	21.0478	21.4202	20.7086	20.5875		20.9651	20.8732	20.5396	21.1179	20.6545	20.9725	20.6748		20.939	21.1015	21.0268	20.9119	20.972	21.3203	21.1511	21.6148	21.3127	20.7383	21.173		21.2067	20.6634			20.4884	22.094	20.7709	21.0444	20.8439
PROT_0014	23.3265	23.5316	23.4582	23.995	23.8043	22.9641	23.8402	23.3332	23.6002	23.4904	23.8038	23.7214	23.804	23.4866	23.5811	23.7976	23.5027	23.0587	23.8063	23.6526	23.3883	23.7292	23.7823	23.6182	23.888	23.3318	23.2643	23.6722	23.5219	23.4361	23.363	23.8158	23.5777	23.4991	23.9581	23.4246	23.7645	23.3163	23.5767	23.8274	23.8186	23.6475	23.6455	23.5581	23.5287	23.3379	24.0425	23.7265	23.8247	23.5357
PROT_0015	22.1026	21.9856	21.8691	22.0828	21.9889	21.8745	21.7968	21.9233	22.2624	21.9528	21.6626	21.8412	22.0674	21.7614	21.699	22.1386	21.8955	21.7995	21.7016	22.0074	20.7878		22.1176	22.0268	21.8757	21.5525	21.5525		21.9891	22.2058	21.7164	21.8254	21.9815	21.6416	22.1935	22.0354		22.2168	22.0533	21.7065	21.6156	21.9985	22.0472	22.1873	21.4718	21.5165	21.882	21.79	22.0739	21.9651
