library	clone	state	dose	lineage	tech_rep	plex
WT1_t1	WT1	wild_type	0	parental_1	1	plex1
WT1_t2	WT1	wild_type	0	parental_1	2	plex2
HetEd1_t1	HetEd1	het_edit	1	ed_1	1	plex3
HetEd1_t2	HetEd1	het_edit	1	ed_1	2	plex4
HomEd1_t1	HomEd1	hom_edit	2	ed_1	1	plex5
HomEd1_t2	HomEd1	hom_edit	2	ed_1	2	plex1
HetRev1_t1	HetRev1	het_revertant	1	rev_1	1	plex2
HetRev1_t2	HetRev1	het_revertant	1	rev_1	2	plex3
HomRev1_t1	HomRev1	hom_revertant	0	rev_1	1	plex4
HomRev1_t2	HomRev1	hom_revertant	0	rev_1	2	plex5
WT2_t1	WT2	wild_type	0	parental_2	1	plex1
WT2_t2	WT2	wild_type	0	parental_2	2	plex2
HetEd2_t1	HetEd2	het_edit	1	ed_2	1	plex3
HetEd2_t2	HetEd2	het_edit	1	ed_2	2	plex4
HomEd2_t1	HomEd2	hom_edit	2	ed_2	1	plex5
HomEd2_t2	HomEd2	hom_edit	2	ed_2	2	plex1
HetRev2_t1	HetRev2	het_revertant	1	rev_2	1	plex2
HetRev2_t2	HetRev2	het_revertant	1	rev_2	2	plex3
HomRev2_t1	HomRev2	hom_revertant	0	rev_2	1	plex4
HomRev2_t2	HomRev2	hom_revertant	0	rev_2	2	plex5
WT3_t1	WT3	wild_type	0	parental_3	1	plex1
WT3_t2	WT3	wild_type	0	parental_3	2	plex2
HetEd3_t1	HetEd3	het_edit	1	ed_3	1	plex3
HetEd3_t2	HetEd3	het_edit	1	ed_3	2	plex4
HomEd3_t1	HomEd3	hom_edit	2	ed_3	1	plex5
HomEd3_t2	HomEd3	hom_edit	2	ed_3	2	plex1
HetRev3_t1	HetRev3	het_revertant	1	rev_3	1	plex2
HetRev3_t2	HetRev3	het_revertant	1	rev_3	2	plex3
HomRev3_t1	HomRev3	hom_revertant	0	rev_3	1	plex4
HomRev3_t2	HomRev3	hom_revertant	0	rev_3	2	plex5
WT4_t1	WT4	wild_type	0	parental_4	1	plex1
WT4_t2	WT4	wild_type	0	parental_4	2	plex2
HetEd4_t1	HetEd4	het_edit	1	ed_4	1	plex3
HetEd4_t2	HetEd4	het_edit	1	ed_4	2	plex4
HomEd4_t1	HomEd4	hom_edit	2	ed_4	1	plex5
HomEd4_t2	HomEd4	hom_edit	2	ed_4	2	plex1
HetRev4_t1	HetRev4	het_revertant	1	rev_4	1	plex2
HetRev4_t2	HetRev4	het_revertant	1	rev_4	2	plex3
HomRev4_t1	HomRev4	hom_revertant	0	rev_4	1	plex4
HomRev4_t2	HomRev4	hom_revertant	0	rev_4	2	plex5
WT5_t1	WT5	wild_type	0	parental_5	1	plex1
WT5_t2	WT5	wild_type	0	parental_5	2	plex2
HetEd5_t1	HetEd5	het_edit	1	ed_5	1	plex3
HetEd5_t2	HetEd5	het_edit	1	ed_5	2	plex4
HomEd5_t1	HomEd5	hom_edit	2	ed_5	1	plex5
HomEd5_t2	HomEd5	hom_edit	2	ed_5	2	plex1
HetRev5_t1	HetRev5	het_revertant	1	rev_5	1	plex2
HetRev5_t2	HetRev5	het_revertant	1	rev_5	2	plex3
HomRev5_t1	HomRev5	hom_revertant	0	rev_5	1	plex4
HomRev5_t2	HomRev5	hom_revertant	0	rev_5	2	plex5
