protein_id	Par_t1	Par_t2	Par_t3	Par_t4	HomEdA_t1	HomEdA_t2	HomEdA_t3	HomEdA_t4	HomEdB_t1	HomEdB_t2	HomEdB_t3	HomEdB_t4	HomRevA_t1	HomRevA_t2	HomRevA_t3	HomRevA_t4	HomRevB_t1	HomRevB_t2	HomRevB_t3	HomRevB_t4
PROT_0000	23.0364	22.9642	22.9821	22.8711	22.6619	22.4855	22.6724	22.6223	22.5712	22.6466	22.5717	22.3514	22.3515	22.3816	22.7354	22.4255	22.3171	23.1108	22.9858	23.0081
PROT_0001	24.435	24.194	24.8333	24.0742	24.582	24.6512	24.945	24.5185	24.3794	24.0684	24.1558	24.2466	23.9137	24.1528	24.4804	24.0047	24.4849	24.0302	24.5432	24.4534
PROT_0002	25.1454	24.5167	24.783	24.965	25.0574	24.4977	25.1425	24.9458	24.979	24.6656	25.145	24.9186	25.1426	24.8351	24.8096	24.7301	25.0414	24.9977	25.3615	24.7488
PROT_0003	24.4011	24.4611	24.3427	24.2288	24.4623	24.6006	24.4038	24.7287	24.6904	24.7364	24.665	25.065	24.7855	24.3822	24.4605	24.3514	25.0463	24.446	24.6853	24.694
PROT_0004	22.3615	22.3821	22.1983	22.3558	22.1674	22.5855	22.2031	22.2777		22.347	22.3864	22.5696	22.4816	22.5448	22.1277	22.2689	22.3427	22.2833	21.9003	22.2382
PROT_0005	23.5091	23.4495	23.0257	23.4476	23.0719	23.2208	23.3951	23.0651	23.5412	23.5221	23.0112	23.1084	23.5852	23.1236	23.257	23.41	23.1491	23.1345	23.0105	23.2525
PROT_0006	25.2451	25.0231	24.8616	24.9194	24.7766	24.5763	24.2832	24.5677	24.7396	24.8462	25.2512	25.0891	25.2145	25.4445	25.1483	24.9609	24.9585	25.2733	25.0607	25.3154
PROT_0007	21.8955	21.6161	21.8218	21.368	21.6365	21.4007	21.2156	21.0749	21.8833	21.6748		21.4473	21.0556	21.5013	21.8315	21.6205	21.258	22.0428	20.9281	21.3631
PROT_0008	21.2011	20.9377	21.1176	21.1287	21.2682	21.299	21.5545	21.7964	21.1766	21.3468	21.0707	21.7417	21.3394	21.8027	21.6866	20.9357	21.4283	21.9085	21.6855	21.0304
PROT_0009	24.6829	24.5455	24.3814	23.9653	24.4267	24.3549	24.5237	24.5644	24.3133	24.8188	24.3452	24.6137	24.4275	24.4855	24.5563	24.2185	24.3416	24.0778	24.4115	24.3016
PROT_0010	26.8843	27.4752	27.4105	27.2837	27.0597	27.3929	27.3708	27.2961	26.8378	27.3397	26.705	27.1128	27.3116	27.3497	27.3306	26.9431	27.0851		27.0047	27.1973
PROT_0011			17.6175	16.9742											17.1013					
PROT_0012	22.5112	22.5848	22.6768	22.7436	22.8374		22.5596		22.8986	22.5285	22.3244	22.7735	22.8714		22.8719	23.4817	22.6553	22.6664		22.8524
PROT_0013	21.3329		20.8341	20.5478	21.0421	20.887	21.375	20.5675	20.5484	20.8759	20.9472	20.6769	20.913	20.1274	20.7251	20.3673	20.6087	20.3367	21.0243	21.1068
PROT_0014	23.228	23.4637	23.3728	23.4567	23.8213	23.4534	23.3798	23.6227	23.4162	23.3212	23.1207	23.6442	23.5733	23.8481	23.2076	23.4657	23.8102	23.6403	23.6174	23.4798
PROT_0015	22.3206	21.937	22.1813	22.5177	21.1356	20.5955	21.3269	21.1528		22.4059	22.1252	22.0591	21.5204	22.2739	22.3765	21.9686	21.9332	22.0561	21.99	21.6641
PROT_0016	22.4127	22.6208	22.5462	22.505	22.7038	22.7689	22.3899	22.4525	22.6228	22.654	22.0629	22.7999	22.6747	22.7671	22.6313	22.5253	22.6316	22.3264	22.4834	22.3702
PROT_0017	24.0602		24.1145	23.9606	23.7644	23.7303	24.0087	23.8779	24.1078	23.8811	23.9873	23.9244	24.2643	24.1655	24.3885	23.835	24.5169	24.2765	23.837	24.3787
PROT_0018	23.2676	23.3055	23.4864	23.234	23.5565	23.3675	23.3158	23.1269	23.4792	23.2807	23.529	23.1895	23.2217	23.7017	23.568	23.3204	23.4799	23.4252	23.4213	23.4255
PROT_0019	24.6575	24.6998	24.8277	24.4335	24.6337	24.5124	24.7956	24.4754	24.766	24.7365	24.4348	24.8131	24.6052	24.6105	24.6322	24.3214	24.9175	24.2366	24.7538	24.6088
PROT_0020	21.7606	21.5651	21.8143	21.6661	22.007	21.943	21.6527	21.6607	21.3763	21.6949	22.0008	22.0468	21.6487	21.9896	21.6264	21.7433	21.6788	21.8206	22.2455	22.1029
PROT_0021	20.5689	20.7785	20.6237	21.4714	21.011	21.226			21.2546	21.0981	20.6122	20.794	20.596	20.5999	20.3857	20.617	20.4338	20.1963	19.8508	20.8651
PROT_0022		18.7568				19.5366	18.08			18.5219		18.407				18.7585		18.6851		
