library	clone	state	dose	lineage	tech_rep	plex
Par_t1	Par	parental_het	1	parental	1	plex1
Par_t2	Par	parental_het	1	parental	2	plex2
Par_t3	Par	parental_het	1	parental	3	plex1
Par_t4	Par	parental_het	1	parental	4	plex2
HomEdA_t1	HomEdA	hom_edit	2	edit_r1a	1	plex1
HomEdA_t2	HomEdA	hom_edit	2	edit_r1a	2	plex2
HomEdA_t3	HomEdA	hom_edit	2	edit_r1a	3	plex1
HomEdA_t4	HomEdA	hom_edit	2	edit_r1a	4	plex2
HomEdB_t1	HomEdB	hom_edit	2	edit_r1b	1	plex1
HomEdB_t2	HomEdB	hom_edit	2	edit_r1b	2	plex2
HomEdB_t3	HomEdB	hom_edit	2	edit_r1b	3	plex1
HomEdB_t4	HomEdB	hom_edit	2	edit_r1b	4	plex2
HomRevA_t1	HomRevA	hom_revertant	0	edit_r2a	1	plex1
HomRevA_t2	HomRevA	hom_revertant	0	edit_r2a	2	plex2
HomRevA_t3	HomRevA	hom_revertant	0	edit_r2a	3	plex1
HomRevA_t4	HomRevA	hom_revertant	0	edit_r2a	4	plex2
HomRevB_t1	HomRevB	hom_revertant	0	edit_r2b	1	plex1
HomRevB_t2	HomRevB	hom_revertant	0	edit_r2b	2	plex2
HomRevB_t3	HomRevB	hom_revertant	0	edit_r2b	3	plex1
HomRevB_t4	HomRevB	hom_revertant	0	edit_r2b	4	plex2
