protein_id	Par_t1	Par_t2	Par_t3	Par_t4	HomEd_t1	HomEd_t2	HomEd_t3	HomEd_t4	HomRev_t1	HomRev_t2	HomRev_t3	HomRev_t4
PROT_0000	22.6783	22.9148	22.9212	22.7533	22.7677	22.8972	22.6249	22.5991	22.8284	22.6241	23.2892	22.8394
PROT_0001	24.383	24.0991	24.0955	24.2593	24.6862	24.4963	24.7225	24.4581	24.2954	24.1323	24.0089	23.8639
PROT_0002	24.8792	24.9762	24.8709	24.9384	24.977	24.8542	24.8296	24.7406	24.9679	25.0082	25.0182	24.7631
PROT_0003	24.635	24.4274	24.8391	24.3749	24.7851	24.7702	24.9206	24.7747	24.5879	24.4293	24.669	24.7552
PROT_0004	22.418	22.1618	22.1483	22.1731	22.6229	22.6218	22.6167	22.3005	22.5011	21.8959	21.6509	22.0612
PROT_0005	23.228	23.2996	23.1201	23.1555	22.9293	23.1261	23.1943	23.0385	23.5013	23.227	23.2037	23.093
PROT_0006	24.6743	25.1967	25.1908	24.8931	25.1735	25.5621	25.1785	24.8494	25.0694	24.8212	25.4033	24.7439
PROT_0007		21.2344	21.5196		21.3672	21.5237	21.1383	21.0367	21.4071	21.5601	21.7788	21.4215
PROT_0008	21.0252	21.2029	21.6169	21.181	21.1615	21.4825	21.4254	21.92	21.6893	21.3541	21.3952	21.3596
PROT_0009	24.5011	24.5949		24.8	24.6513	24.7949	24.3722	24.5687	24.6889	24.2932	24.3526	24.5624
PROT_0010	26.8554	26.8769	26.7525	27.081	27.1004	27.0811	26.7929	26.9515	26.5682	26.5611	26.6311	26.3486
PROT_0011												
PROT_0012	22.8016	22.3832	22.876	22.961	22.6082	22.618	22.8153	22.6147	23.2124	23.1255	22.5276	22.7297
PROT_0013	20.9596	21.3521	20.545	21.3341	20.8903	21.1695	21.1948	21.4965	20.8742	21.0714	21.2451	21.0937
PROT_0014	23.7556	23.463	23.7375	23.564	23.7279	24.1028	23.6373	23.7414		23.703	23.704	23.5074
PROT_0015	22.1536	22.1109	22.3835	21.7288	21.703		21.9916	21.3157	22.1492	21.8163	21.8467	21.8467
PROT_0016	22.2011	22.4716	22.2503	22.8183	22.6669	22.513	22.4795	21.887	22.6732	22.2882	22.5462	22.678
PROT_0017	23.8021	23.8106	23.3816	24.0186	24.0502	24.2184	23.7538	23.7033	23.8871	23.8139	24.2857	23.6243
PROT_0018	23.3405	23.2631	23.2691	23.0091	23.5302	23.2709	23.3506	23.3246	23.3712	23.4536	23.252	23.7325
PROT_0019	24.8744	24.6517	24.6646	24.6132	24.6683	24.8424	24.7519	24.2706	25.1493	24.6135	24.5278	24.7672
PROT_0020	21.7572	21.6122	21.8669		21.492	21.726	21.6746	21.6364	21.4387	21.3534	21.7785	21.5056
PROT_0021	20.5962	20.2457	20.3416	20.8189	21.2496	20.9076	20.4872	21.1069	21.6899	20.5994	20.6609	21.0848
PROT_0022					18.9957			18.4096	18.5742			18.5639
PROT_0023	22.614	22.3363	22.2528	22.7772	22.3481	22.792	22.5248	22.6729	23.0278	22.7709	22.9362	22.6739
PROT_0024		22.6641	22.0009	22.329	22.3688	21.8838	22.1918	22.0115	22.1719	21.9318		22.089
PROT_0025	21.8793	22.1383	22.1182	22.3492	22.397	22.0797		21.6133	21.863	22.4259	22.099	21.9517
PROT_0026	23.8555	23.9349	24.0563	23.6061	24.0087	23.7835	24.1887	23.8517	24.0105	23.9078	23.8555	
PROT_0027	20.3953	20.2218	20.6355	20.2758	20.9069	20.6685	20.6039	20.3752	20.3065		20.759	
PROT_0028	21.7279	21.5343	21.9528	22.2864	21.952	22.1945	21.8729	21.9092	21.482	21.1743	22.3476	21.9805
PROT_0029	25.3799	25.3238	25.373	25.4732	25.6253	25.3705	25.4259		25.5992	25.1136	25.3136	25.2651
PROT_0030	20.1427	20.6849	20.4192	21.0108	21.0326	21.0868	20.0512	20.4636	21.1022		20.1165	20.3528
PROT_0031	21.5182	21.7877	21.7382	21.5173	21.8966	21.7981	21.703	21.6864	21.641	21.4892		21.891
PROT_0032	25.9355	26.0732	25.8435	25.8936	26.4307	26.1262	26.2568	26.02	26.1492	25.9852	26.2312	26.2174
PROT_0033	27.8269	27.9335	27.8629	27.9983	27.6583	27.7278	27.5999	27.6014	28.1803	28.0076	27.9308	27.8741
PROT_0034					17.5064					18.8196		
PROT_0035	18.904	18.6851	19.4488		19.4976		20.421	19.8691	19.4102	19.2013	19.9881	19.6163
